Crop_Type,Precipitation,Temperature,Soil_Quality,Fertilizer_Usage,Pesticide_Usage,Irrigation_Water,Humidity,Season,Crop_Yield
Soybean,55.539878651585894,26.81757485522245,4.542719682496979,57.75989094577749,92.22202102624254,313.21222459530225,88.45905823226485,Summer,7.888450562126349
Cotton,162.57028421350745,29.917034929784307,5.260920934375193,87.35450564622587,57.28244336375482,155.1595286921336,31.030379439742173,Spring,3.9280656019184788
Corn,261.8837507629225,16.261697469812475,8.690926538819623,216.2491610179885,75.24192446524759,336.49716230024563,86.85909918486534,Spring,6.5941953233202995
Soybean,219.66746592286836,25.621852490174973,4.060039474539029,203.35367126766715,49.2443468175329,225.91424948678318,52.120645430948684,Summer,4.404300544725153
Soybean,241.9683443584349,24.293649578593715,8.826847163309541,120.12853829142938,66.70311197881944,120.93950672384096,30.60542430131289,Fall,7.1166235066539665
Cotton,197.6350100132152,30.82075941970678,1.7932098787902233,125.36212555484249,40.65183436790068,479.46246308262596,71.3494339034705,Fall,6.074397803049808
Corn,207.68296935535574,32.65217651203152,7.991185934877676,156.7108867107159,37.10431178069008,356.5961476257151,88.83241824188124,Summer,1.6489153892925357
Corn,254.75869546959578,10.30391928693467,8.627928697492628,50.04820093702691,62.04068075525623,450.7675727483388,87.93754337025555,Fall,3.4135342586050417
Soybean,74.90040265775578,26.850497976469818,2.6363588755360485,98.24886720760557,54.83167067655823,370.42240200530125,39.65622067214511,Fall,5.1269500468074405
Wheat,146.82748909294213,11.295894977993225,4.873118791349804,91.64636172164289,62.1582732234983,242.79347685604517,40.8748683639693,Fall,7.5201312864534
Soybean,66.36283254588066,23.721466626933896,2.4894979719729005,100.0965893499527,35.79945231583207,305.0752289315246,63.932334877179606,Summer,2.1631943151696875
Soybean,296.3004023989941,17.190818226091956,7.35943716094796,211.18116850668827,43.02620486352957,370.29870413887085,68.23828958569946,Spring,5.407556495121936
Soybean,283.217801905984,17.669414988053532,5.818129912554911,105.93477130928864,17.550816456601837,484.10093008057504,74.36507481995193,Spring,3.464148754182274
Soybean,11.82804341055177,18.823962586308916,6.717910120374889,88.30426441002963,14.704873504498515,201.4677836486786,40.86302162832885,Spring,7.280630583126362
Cotton,211.67255175470655,25.532311226240253,2.7683827026059005,150.85269215860632,32.81114167057146,449.99082344964705,87.54042520586607,Spring,6.473602462780336
Corn,277.5744952246998,18.35124914171923,2.9057127584717755,223.12900727454638,16.68221733974912,469.6311221177078,68.32435537735427,Spring,3.9030676930603545
Cotton,54.17260353820006,28.31747626475701,1.3734759295891572,98.26994076749997,19.339723777126665,368.1662058635826,80.82281513223329,Fall,2.5861705654059888
Cotton,170.38356916578883,20.11318463934674,3.8986078167615674,65.70724855855974,83.16355648545434,472.5066509605351,62.40394291705031,Fall,1.5747368205824355
Cotton,274.6464892764126,11.708830007748965,6.037701952003075,121.28094716993294,13.498632731502038,259.1514349909474,54.85661085539296,Fall,5.537373929367667
Soybean,10.183793575739653,29.593996062102683,8.721414225975959,199.53036491299557,69.30485145412685,481.2064704161771,88.63097439569975,Summer,4.139804749603085
Wheat,209.226080174052,17.14395811481765,7.002347027128127,160.1381089389589,34.53019739338605,381.11315086638996,64.92728224919017,Fall,3.5459172035949993
Corn,89.20470221176522,20.819171989981566,4.918566910597763,213.35867391486948,88.43911126373138,116.80230696752476,82.01241496795073,Spring,7.9057648956394315
